Applicant Name,Date Screened by Fiber Consultant ,State,Applicant Type,Address ,FCC Form 470 Number,Lit/Dark/Self,Estimated Special construction ,Odds,Num,Overview,Interactions with USAC 
NORTH FRANKLIN DIST J51-162,3/11/17,WA,School District,"1100 WEST CLARK STREETCONNELL, FRANKLIN, WA 99326",170071903,"Leased Dark Fiber, Leased Lit Fiber (1-2G), Transport Only-No ISP Service Included (25 mbps-2G), Category1 network equipment ","$100,000.00",Likely,2,2 location WAN ,3/11-confirmed receipt 
FIFE SCHOOL DISTRICT 417,3/23/17,WA,School District,"5802 20TH ST ETACOMA, PIERCE, WA 98424-2030",170074555,"Self provisioning, Transport Only-No ISP Included (1-10G)","$50,000.00",Likely ,2,2 location WAN ,3/23-Confirmed receipt 
KENNEWICK SCHOOL DISTRICT 17,3/27/17,WA,School District,"1000 WEST 4TH AVENUEKENNEWICK, BENTON, WA 99336",170075666,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category 1 Network Equipment ","$50,000.00",Likely,2,2 location WAN ,3/27 confirmed receipt 
WEST VALLEY SCHOOL DIST 208,4/6/17,WA,School District,"8902 ZIER RDYAKIMA, YAKIMA, WA 98908-9240",170079271,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G), Category 1 network equipment ","$50,000.00",Likely,2,2 location WAN ,4/6 confirmed receipt 
SELKIRK SCHOOL DISTRICT,4/12/17,WA,School District,"219 PARK STMETALINE FALLS, PEND OREILLE, WA 99153",170081870,"Leased Dark Fiber, Leased Lit fiber (1-10G)","$50,000.00",Likely,2,2 location WAN ,4/12-Confirmed receipt 
KENT SCHOOL DISTRICT,4/5/17,WA,School District,"12033 SE 256TH ST, Suite 500KENT, KING, WA 98030-6503",170078843,"Self Provisioning, Transport Only-No ISP Service Included (1-10G)","$20,000.00",Likely,2,2 locations added to a WAN--fiber into two new schools,4/5-Confirmed receipt.  Need to see documentation that relates only to fiber installation
BELLEVUE SCHOOL DISTRICT 405,3/9/17,WA,School District,"BELLEVUE, KING, WA 98009-9010",170070848,"Leased Dark Fiber, Leased Lit Fiber (1-10G) ","$460,000.00",Likely,23,23 location WAN ,3/9 Disaggregate equipment
SUMNER SCHOOL DISTRICT 320,3/29/17,WA,School District,"1202 WOOD AVESUMNER, PIERCE, WA 98390-1926",170076603,"Leased Dark Fiber, Leased Lit Fiber (10G), Category1 network equipment ","$80,000.00",Likely,4,4 location WAN ,3/29 confirmed receipt 
SEDRO-WOOLLEY SCHOOL DIST 101,3/25/17,WA,School District,"801 TRAIL ROADSEDRO WOOLLEY, SKAGIT, WA 98284-9388",170075168,"Self Provisioning, Transport Only-No ISP Service Included (10-25G); Leased Lit Fiber (25 mbps-1G), Category 1 Network equipment ","$80,000.00",Likely,4,4 location WAN to NIFs,3/25 - from the looks of the aerial photo this is likely Cat2.  These are all adjunct facilities separated by a public access road.  Need clarification from FCC and USAC.
KENT SCHOOL DISTRICT,4/10/17,WA,School District,"12033 SE 256TH ST, Suite 500KENT, KING, WA 98030-6503",170080433,"Self Provisioning, Transport Only-No ISP Service Included (1-10G)","$1,500,000.00",Likely,43,43 location WAN ,4/6 concerned about duplicative service ; 4/10 redid network design and refiled
Ferndale School Distirct 502,3/7/17,WA,School District,"6041 Vista Drive, Ferndale, WA 98248",170070405,"Leased Dark Fiber Leased Lit Fiber (1G), Category1 network equipment, ISP (25-100 mbps) ","$160,000.00",Likely,,8 location WAN ,3/7 confirmed receipt 
SEATTLE SCHOOL DISTRICT 1,4/11/17,WA,School District,"2445 3RD. AVENUE SOUTHSEATTLE, KING, WA 98134-1923",170080856,"Self provisioning, Transport Only-No ISP Included (1-10G)","$80,000.00",Likely,1,Adding 1 location to an existing WAN ,4/11-Confirmed Receipt 
SEATTLE SCHOOL DISTRICT 1,4/11/17,WA,School District,"2445 3RD. AVENUE SOUTHSEATTLE, KING, WA 98134-1923",170079243,"Self Provisioning, Transport Only-No ISP Included (10G)","$80,000.00",Likely,1,Adding 1 location to an existing WAN ,4/11-Confirmed Receipt 
SEATTLE SCHOOL DISTRICT 1,4/11/17,WA,School District,"2445 3RD. AVENUE SOUTHSEATTLE, KING, WA 98134-1923",170080854,"Self provisioning, Transport Only-No ISP Included (1-10G)","$80,000.00",Likely ,1,Adding 1 location to an existing WAN ,4/11-Confirmed Receipt 
LAKE STEVENS SCHOOL DISTRICT 4,3/9/17,WA,School District,"12309 22ND STREET NELAKE STEVENS, SNOHOMISH, WA 98258",170070992,"Leased Dark Fiber, Leased Lit Fiber (10G)","$75,000.00",Likely,1,Connection to new school ,3/9 asked about equipment 
SEQUIM SCHOOL DISTRICT 323,4/13/17,WA,School District,"503 N SEQUIM AVESEQUIM, CLALLAM, WA 98382-3161",170082589,"Self Provisioning, Transport Only-No ISP Included (10G)","$200,000.00",Likely,5,Looks like 5 Category 2 LAN runs and 5 Cat1 runs,4/11-This looks like Category2 -- contacted applicant; 4/13 refiled to distinguish between category 2 and category 1 runs.  Talked to applicant at length  
BALDWIN-WOODVILLE AR SCH DIST,4/6/17,WI,School District,"550 HIGHWAY 12BALDWIN, ST CROIX, WI 54002",170079174,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included (10-25 G)","$50,000.00",Likely,1,1 location WAN ,4/6 confirmed receipt 
WILD ROSE SCHOOL DISTRICT,4/13/17,WI,School District,"600 PARK AVEWILD ROSE, WAUSHARA, WI 54984",170082429,"Self Provisioning, Transport Only-No ISP Service Included (1-10G), Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 Network Equipment, Fiber Maintenance and Operations ","$50,000.00",Likely,1,1 school needed fiber replacement from the hub,4/12-filed incorrect options; will require a refile ; 4/13 refiled with correct options 
OAK CREEK-FRANKLIN JT SCH DIST,4/1/17,WI,School District," 7630 S 10TH STOAK CREEK, MILWAUKEE, WI 53154-1912",170076313,Leased Dark Fiber ,"$400,000.00",Likely,10,10 location WAN ,4/1 - Did not bid leased dark fiber; bid bundled transport and access on FCC Form 470  #170070889
FOND DU LAC SCHOOL DISTRICT,3/28/17,WI,School District,"72 W NINTH STREETFOND DU LAC, FOND DU LAC, WI 54935-4233",170076163,Fiber Maintenance and Operations ,$0.00,Likely,15,15 location WAN ,3/28-confirmed receipt 
LA CROSSE SCHOOL DISTRICT,4/7/17,WI,School District,"807 EAST AVE SLA CROSSE, LA CROSSE, WI 54601-4982",170077360,"Self Provisioning, Transport Only-No ISP Service Included (10G), Category 1 Network Equipment","$450,000.00",Likely,15,15 location WAN ,4/7 confirmed receipt; 
STEVENS POINT AREA SCHOOL DISTRICT,4/5/15,WI,School District,"1900 POLK STSTEVENS POINT, PORTAGE, WI 54481-5875",170079014,"Self provisioning, Transport Only-No ISP Service Included (10-25G); Category 1 network equipment","$550,000.00",Likely,19,19 location WAN ,3/31-confirmed receipt ; 4/5-Issued corrected filing to make equipment bid clearer.
WISCONSIN HEIGHTS SCHOOL DIST,3/18/17,WI,School District,"10173 US HIGHWAY 14MAZOMANIE, DANE, WI 53560-9587",170073406,"Leased Dark Fiber, Leased Lit Fiber (100 mbps-10G)","$50,000.00",Likely,2,2 location WAN,3/18 confirmed receipt 
SHEBOYGAN FALLS SCHOOL DIST,4/3/17,WI,School District,"220 AMHERST AVESHEBOYGAN FLS, SHEBOYGAN, WI 53085-1735",170077968,"Self Provisioning, Transport Only-No ISP Service Included (10-25G), Leased Dark Fiber, Leased Lit Fiber (10-25G)","$50,000.00",Likely,2,2 locations ,4/3-confirmed receipt
MEDFORD SCHOOL DISTRICT,4/13/17,WI,School District,"124 W STATE STMEDFORD, TAYLOR, WI 54451-1760",170082337,"Leased Dark Fiber, Category1 network equipment ","$50,000.00",Likely,2,2 locations back to a hub ,4/13 applicant bid lit fiber service for these circuits on FCC form 470 #170071626
JANESVILLE SCHOOL DISTRICT,4/5/17,WI,School District,"527 S FRANKLIN STJANESVILLE, ROCK, WI 53548-4779",170079372,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included (10-25 G)","$2,000,000.00",Likely,22,22 location WAN ,4/5 - tweaked language on routes -- will likely refile; 4/6 refiled changing langauge 
SUN PRAIRIE AREA SCHOOL DIST,3/7/17,WI,School District,"501 S BIRD STSUN PRAIRIE, DANE, WI 53590",170069738,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G)","$150,000.00",Likely,3,3 location WAN ,3/7 outlined transport in RFP but did not bid it.  Also awekd about equipemnt 
FORT ATKINSON SCHOOL DISTRICT,4/6/17,WI,School District,"201 PARK STFORT ATKINSON, JEFFERSON, WI 53538",170078942,"Leased Dark Fiber, Leased Lit fiber (10G), Transport Only-No ISP Service Included (10G), Fiber Maintenance and Operations ","$700,000.00",Likely,3,3 location WAN ,4/6-suggested separating equipment bid
SCHOOL DISTRICT OF LADYSMITH ,4/11/17,WI,School District,"1700 EDGEWOOD AVE ELADYSMITH, RUSK, WI 54848-3003",170081221,"Self Provisioning, Transport Only-No ISP Included (10G), Category 1 Network Equipment ","$150,000.00",Likely,3,3 location WAN ,4/11-confirmed Receipt 
SUN PRAIRIE AREA SCHOOL DIST,4/13/17,WI,School District,"501 S BIRD STSUN PRAIRIE, DANE, WI 53590",170082264,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included  (10G), Category 1 Network Equipment","$150,000.00",Likely,3,3 location WAN ,4/11-Mentioned self provisioning but did not file for self provisioning ; 4/13 Refiled for self provisioning.
LAKE MILLS AREA SCHOOL DIST,3/30/17,WI,School District,"120 E. LAKE PARK PLACELAKE MILLS, JEFFERSON, WI 53551",170076707,"Self provisioning, Transport Only-No ISP Included (10G), Network Equipment ","$75,000.00",Likely,4,4 location WAN,3/17 Bid incorrect options; 3/30 Refiled with correct options 
ST CROIX FALLS SCHOOL DIST,3/7/17,WI,School District,"740 MAPLE DRST CROIX FALLS, POLK, WI 54024",170070247,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included (10-25G), Category1 Network Equipment ","$80,000.00",Likely,4,4 location WAN ,3/3-confirmed receipt ; 3/7 refiled with all options
STURGEON BAY SCHOOL DISTRICT,3/25/17,WI,School District,"1230 MICHIGAN STSTURGEON BAY, DOOR, WI 54235-1431",170075247,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G)","$120,000.00",Likely,6,6 location WAN,3/25- confirmed receipt 
SCHOOL DISTRICT OF MARINETTE,4/13/17,WI,School District,"2139 PIERCE AVENUEMARINETTE, MARINETTE, WI 54143",170082628,Fiber Maintenance and Operations ,$0.00,Likely,6,6 location WAN ,4/13-had to refile to bid correctly--applicant did before the deadline 
MENOMONIE AREA SCHOOL DISTRICT,3/18/17,WI,School District,"215 PINE AVE NEMENOMONIE, DUNN, WI 54751-1511",170073273,"Self provisioning, Transport Only-No ISP Service Included (10G); Category 1 network equipment","$200,000.00",Likely,6,6 location WAN to community hub,3/8 suggested including Transport Only-No ISP Service included in the RFP. 3/18 included
MENOMONEE FALLS PUB SCH DIST,3/29/17,WI,School District,"PILGRIM RDMENOMONEE FLS, WAUKESHA, WI 53051",170076047,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G); Category1 network equipment ","$210,000.00",Likely,7,7 location WAN ,3/29 confirmed receipt 
MARSHFIELD SCHOOL DISTRICT,3/16/17,WI,School District,"1010 E 4TH STMARSHFIELD, WOOD, WI 54449-4538",170072691,Category 1 Network Equipment,$0.00,Likely,,8 location WAN ,3/16 Confirmed receipt 
MARSHFIELD SCHOOL DISTRICT,3/27/17,WI,School District,"1010 E 4TH STMARSHFIELD, WOOD, WI 54449-4538",170075673,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 network equipment ","$160,000.00",Likely,,8 location WAN ,3/27- Confirmed receipt 
FRANKLIN PUBLIC SCHOOL DISTRICT,4/7/17,WI,School District,"8255 W FOREST HILL AVEFRANKLIN, MILWAUKEE, WI 53132-9705",170079862,"Self Provisioning, Leased Lit Fiber (10-25G), Transport Only - No ISP Service Included (10-25G), Leased Dark Fiber ","$450,000.00",Likely,,8 location WAN ,4/7 confirmed receipt 
SCHOOL DISTRICT OF MARINETTE,4/12/17,WI,School District,"2139 PIERCE AVENUEMARINETTE, MARINETTE, WI 54143",170063628,Self provisioning ,$0.00,Unlikely,6,Applicant needs dark fiber maintenance on existing self provisioned network ,4/12-filed incorrect options; will require a refile 
MAPLE SCHOOL DISTRICT,4/12/17,WI,School District,"4751 SOUTH COUNTY RD FMAPLE, DOUGLAS, WI 54854",170081811,"Leased Dark Fiber, Leased Lit Fiber (10 mbps-1G)","$75,000.00",Likely ,1,Fiber between 2 locations in the district ,4/12-Confirmed receipt 
MUSKEGO-NORWAY SCHOOL DISTRICT,2/21/17,WI ,School District,"S87W18763 WOODS RDMUSKEGO, WAUKESHA, WI 53150-9374",170067087,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), ISP (1-10G)","$240,000.00",Likely ,,8 location WAN ,2/21-confirmed reciept-asked about equipment 
OZARK CITY SCHOOL DISTRICT,2/2/17,AL,School District ,"1044 E. ANDREWS AVENUEOZARK, DALE, AL 36360-1739",170063533,"Self Provisioning, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G)","$140,000.00",Likely,7,7 location WAN,"2/2 - bid managed operations, support and maintenance over Self Provisioning fiber -- asked applicant to separate this on the FCC form 470"
HOMEWOOD CITY SCHOOL DISTRICT,2/25/17,AL,School District ,"450 DALE AVENUEHOMEWOOD, JEFFERSON, AL 35209",170068107,"Leased Dark Fiber, Leased Lit Fiber (10G)","$200,000.00",Likely,,8 location WAN ,2/17 bid incorrect options; wrote applciant and state E-rate coordinator; also asked about equipment 2/25 REFILE
Cherokee County School District ,1/11/17,AL,School District ,"130 E MAIN STCENTRE, CHEROKEE, AL 35960-1517",170058841,Transport Only-No ISP Service Included  (1-10G),"$160,000.00",Unlikely,8,8 School district WAN,1/11- Express interest in leased dark fiber in RFP.  Wrote them to bid the correct options.
SALEM PUBLIC SCHOOL DISTRICT,2/15/17,AR,School District ,"313 HWY 62 EASTSALEM, FULTON, AR 72576-9769",170066037,"Self provisioning; Leased Lit Fiber (10-25G), Leased Dark Fiber ","$50,000.00",Unlikely,2,2 location WAN,2/15 did not bid transport only-no ISP Service included and asked about equipment.
Farmington School District ,1/25/17,AR,School District ,"42 S DOUBLE SPRINGS ROADFARMINGTON, WASHINGTON, AR 72730-2707",170061694,"Leased Dark Fiber, Leased Lit Fiber (10-25G)",,Likely,3,3 location WAN ,1/25- confirmed receipt 
LONOKE PUBLIC SCHOOL DISTRICT,2/24/17,AR,School District ,"401 W HOLLY STREETLONOKE, LONOKE, AR 72086",170060995,"Self provisioning, Leased Lit Fiber (1-10G), Transport Only- No ISP Service Included (1-10G), Category1 Network equipment ","$100,000.00",Likely,3,3 location WAN ,2/24- pre-reviewed this.  Confirmed receipt.
Pottsville SD,3/3/17,AR,School District ,"7000 SR 247POTTSVILLE, POPE, AR 72858",170069602,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), ","$120,000.00",Likely,3,3 locations WAN ,3/3 asked about equipment 
Mountainview School District ,12/31/16,AR,School District ,"210 HIGH SCHOOL DRIVEMOUNTAIN VIEW, STONE, AR 72560-9636",170057042,"Self provisioning, leased dark fiber, leased lit fiber (10-25G), Category1 Network Equipment, Transport Only-No ISP Service Included  (10-25G)","$200,000.00",Likely,3,3 sets of schools to build WAN connections ,12/21- did not bid Transport Only-No ISP Service Included  option with self provisioning 12/31 rebid with Transport Only-No ISP Service Included  
Arkadelphia School District ,12/16/16,AR,School District ,"235 N 11TH STARKADELPHIA, CLARK, AR 71923-4903",170052843,"Leased dark fiber, leased lit fiber ","$50,000.00",Likely,1,Connection between 2 schools,12/16- asked to dissagregate maintenance and cat1 equipment from overall lease price; 12/22 - bid category 1 network equipment on FCC Form 470# 170055900
Arkadelphia School District ,12/22/16,AR,School District ,"235 N 11TH STARKADELPHIA, CLARK, AR 71923-4903",170055900,Category1 Network Equipment ,$0.00,Likely,1,Connection between 2 schools,12/22 tied to FCC form 470 #170052843
Hot Springs School District ,10/17/16,AR,School District ,"400 LINWOOD AVENUEHOT SPRINGS, GARLAND, AR 71913",170048317,Leased dark fiber vs. leased lit service,"$75,000.00",Likely ,9,Leased dark fiber vs. Leased lit service for a 9 location and 1 hub location District WAN.  ,10/19- Followed up with applicant on lessons from competitive bidding.
Santa Cruz Valley Unified School District #35,12/22/16,AZ,School District ,"1374 West Frontage RoadRio Rico, Santa Cruz, AZ 85648",170049524,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (100 mbps-1G), Bundled (DIA) (500 mbps-10G)","$250,000.00",Likely,11,11 location WAN,12/22-wrote about equipment 
 CRANE ELEM SCHOOL DISTRICT 13,2/6/17,AZ,School District ,"4250 W 16TH STYUMA, YUMA, AZ 85364-4031",170061091,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G), Category1 network equipment ","$400,000.00",Likely,13,13 location WAN,2/7- Reviewed prior to filing
Mohave Accelerated Schools,1/6/17,AZ,School District ,"625 Marina BlvdBullhead City, Mohave , AZ 86442",170057282,"Self provisioning, Transport Only-No ISP Service Included  (1-5G), Leased Lit Fiber (1-5G), Dark Fiber (1-5G), Category 1 Network Equipment ","$300,000.00",Likely,2,2 location WAN,1/6 bid correct options but had some comments on the technical specification
PAYSON UNIF SCHOOL DISTRICT 10,1/21/17,AZ,School District ,"902 WEST MAIN STREETPAYSON, GILA, AZ 85541",170061340,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (300 mbps-10G), Transport Only-No ISP Service Included  (300 mbps-10G), Category1 network equipment, Maintenance and operations ","$300,000.00",Likely,3,3 location WAN ,1/21-Confirmed receipt
Page Unified School District ,1/10/17,AZ,School District ,"P.O. BOX 1927, 500 SOUTH NAVAJO AVENUEPAGE, COCONINO, AZ 86040",170058996,"Transport Only-No ISP Service Included  (1-10G), Bundled (200 mbps-1G); leased dark fiber; leased lit fiber (1-10G), Category1 network equipment","$120,000.00",Likely,3,3 locations WAN ,12/22 bidding leased dark fiber going to recommend that they add leased dark fiber and leased lit fiber to the FCC Form 470 service options; Will Reflie 12/22 refiled; Refiled again with amendment on 1/10/17
AGUA FRIA UNION H S DIST 216,1/14/17,AZ,School District ,"1481 N. Eliseo Felix Jr. WayAVONDALE, MARICOPA, AZ 85323",170059826,"Self Provisioning, Leased Dark Fiber, Transport Only-No ISP Service Included  (2-25G), Leased Lit Fiber (2-25G), Category1 network equipment; Fiber Maintenance and Operations; Bundled (DIA) (2-25G), ISP (2-25G)","$1,500,000.00",Likely,5,5 location WAN and possible to RPoP,1/14 confirmed receipt 
Higley Unified School District ,12/1/16,AZ,School District ,"2935 S. RECKER ROADGILBERT, MARICOPA, AZ 85295",170052332,Transport Only-No ISP Service Included  ,"$1,200,000.00",Likely,17,A 17 school WAN,12/1-confirmed that Transport Only-No ISP Service Included  means leased dark fiber since it is specified in the RFP. 2/1 This was before the guidance.
Combs Unified School District ,10/17/16,AZ,School District ,"301 E COMBS RDQUEEN CREEK, PINAL, AZ 85140",170048328,Transport Only-No ISP Service Included  - but RFP indicated leased dark fiber bids accepted ,"$200,000.00",Likely ,7,Bid Transport Only-No ISP Service Included  for a district WAN.  Indicated a willingness to accept leased dark fiber bids.,10/19 did not bid equipment on the same 470 - verifying that the applicant did not need equipment.
Native American Christian School,12/14/16,AZ,School District ,"8450 S. Sun Valley RoadSun Valley, Navajo, AZ 86029-401",170054947,Bundled (Dedicated Internet Access and Transport Only-No ISP Service Included ) (10-100 mbps) (Special Construction),"$55,000.00",unlikely ,1,ISP connection from the school ,12/14-Did not include self provisioning specfication in the RFP -- want to check with applicant. 12/16 Refiled 
BISBEE UNIFIED SCHOOL DIST 2,1/14/17,AZ,School District ,"100 OLD DOUGLAS ROADBISBEE, COCHISE, AZ 85603",170059750,"Leased Dark Fiber, Leased Lit Fiber  (50 mbps-1G), Transport Only-No ISP Service Included  (50 mbps-1G), Category1 network equipment ","$200,000.00",Likely,4,Leased dark fiber option for 4 site WAN,1/14 RFP did not mention leased dark fiber option
Eloy Elem School District ,12/1/16,AZ,School District ,"1011 N. SUNSHINE BLVD.ELOY, PINAL, AZ 85131",170052281,Leased dark fiber vs. leased lit service vs. self provisioning ,"$50,000.00",Likely,1,One run between to Ifs,12/1-confirmed receipt - wrote about equipment 
Merced County Office of Education ,1/19/17,CA,School District ,"632 W 13TH STMERCED, MERCED, CA 95341",170059275,"Self provisioning, leased dark fiber, Leaed lit fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment ","$2,000,000.00",Likely,24,16 total locations back to a hub; all bid self provisoning and Transport Only-No ISP Service Included ; 8 additional sites on this FCC Form 470 bid leased dark fiber and leased lit fiber option,1/19-confirmed receipt and that locations matched for correct options.
JEFFERSON ELEM SCHOOL DISTRICT,1/26/17,CA,School District ,"101 LINCOLN AVEDALY CITY, SAN MATEO, CA 94015-3934",170062149,"ISP (1-10G), Leased Lit Fiber (1-25G), Transport Only-No ISP Service Included  (1-25G)","$340,000.00",Likely,17,17 school district -- building a WAN,"1/26 applicant wants to compare self provisioning, leased dark fiber, leased lit fiber and Transport Only-No ISP Service Included  and bid the wrong options"
Snelling-Merced Falls School District ,11/4/16,CA,School District ,"16099 STATE HWY 59, PO BOX 189SNELLING, MERCED, CA 95369-0189",170048974,Leased dark fiber vs. leased lit service ,"$100,000.00",Likely,2,2 location WAN.,11/5-Wrote applicant pointing out reminders from the Funding Year 16 filings.
RICHLAND SCHOOL DISTRICT,1/6/17,CA,School District ,"331 SHAFTER AVESHAFTER, KERN, CA 93263",170058135,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$500,000.00",Likely,2,2 long runs ; 2 school locations to a hub,1/6-Wrote about equipment 
VALLEJO CITY UNIF SCH DISTRICT,1/17/17,CA,School District ,"665 WALNUT AVENUEVALLEJO, SOLANO, CA 94592",170059936,"Leased Dark Fiber, Leased Lit Fiber (1-25G), Category1 Network Equipment, Bundled (DIA)  (1-5G), ISP (2-5G)","$1,500,000.00",Likely ,25,25 locations WAN ,1/17-Confirmed receipt
BALLICO-CRESSEY ELEM SCH DIST,2/23/17,CA,School District ,"11818 W GREGG STBALLICO, MERCED, CA 95303",170067078,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (100-300 mbps), Category1 Network Equipment ","$100,000.00",Likely,3,3 location WAN ,2/23 this is a refile from a project that was not cost effective in Funding Year 16 due to an excessive cost per foot for special construction.  Confirmed receipt 
PLAINSBURG ELEM SCH DISTRICT,12/13/16,CA,School District ,"3708 PLAINSBURG RDMERCED, MERCED, CA 95340-9557",170052193,"Leased dark fiber, leased lit fiber, Category1 Network","$300,000.00",Likely,3,3 locations WAN ,"12/13 Confirmed receipt, experienced applicant"
Calistoga School District ,10/26/16,CA,School District ,"1520 LAKE STREETCALISTOGA, NAPA, CA 94515-1605",170048798,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-25G)","$250,000.00",Likely,3,3 locaton WAN ,10/26 compliant FCC Form 470 when filed
SAN MARINO UNIF SCHOOL DIST,1/10/17,CA,School District ,"1665 WEST DRSAN MARINO, LOS ANGELES, CA 91108-2558",170058283,"Leased Dark Fiber, Leased Lit Fiber (5-25G), Transport Only-No ISP Service Included  (5-25G), Category1 Network Equipment ","$80,000.00",Likely,4,4 location WAN,1/10-confirmed receipt.  Applicant had coordinated before filing.
Merced Co-River Union Elementary District ,11/15/16,CA,School District ,"4402 WEST OAKDALE ROAD WINTON, MERCED, CA 95388",170050250,Leased dark fiber vs. leased lit service ,"$400,000.00",Likely,4,4 School connections back to a hub - WAN,11/16 - confirmed receipt
Gustine Unified School Distirct ,11/10/16,CA,School District ,"1500 MEREDITH AVEGUSTINE, MERCED, CA 95322-1701",170049409,Leased dark fiber vs. leased lit service ,"$700,000.00",Likely,4,4 school WAN,11/11-Confirmed Receipt
ORANGE UNIFIED SCHOOL DISTRICT,1/26/17,CA,School District ,"1401 N HANDY STORANGE, ORANGE, CA 92867",170061982,"Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Bundled (DIA) (1-10G)","$900,000.00",Likely,45,45 location WAN,1/26 Did not bid the correct options to consider leased dark fiber.
GREENFIELD UNION SCH DIST,1/26/17,CA,School District ,"493 EL CAMINO REALGREENFIELD, MONTEREY, CA 93927-4915",170062075,"Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G)","$100,000.00",Likely,5,5 location WAN,"1/26 applicant wants to compare self provisioning, leased dark fiber, leased lit fiber and Transport Only-No ISP Service Included  and bid the wrong options"
PLANADA ELEM SCHOOL DISTRICT,11/17/16,CA,School District ,"161 S. Plainsburg Rd.PLANADA, MERCED, CA 95365",170049087,Leased dark fiber vs. leased lit service ,"$400,000.00",Likely,5,5 WAN fiber runs between instructional facilities and the district hub.  ,11/18 - confirmed receipt with applicant; RFP looks good.
POMONA UNIFIED SCHOOL DISTRICT,12/16/16,CA,School District ,"800 S GAREY AVEPOMONA, LOS ANGELES, CA 91766",170054974,"Leased dark fiber, Transport Only-No ISP Service Included , Maintenance and Operations","$20,000.00",Likely ,50,50 school WAN but most have exisitng fiber ,12/16- Existing fiber network
Atwater Elementary School District ,1/19/17,CA,School District ,"1401 BROADWAY AVENUEATWATER, MERCED, CA 95301-3535",170059596,"Leased dark fiber vs. leased lit service, category 1 network equipment  ","$500,000.00",Likely,6,6 school WAN,11/11 - Confirmed receipt 1/19 Refiled to included equipment 
WHITTIER UNION HIGH SCH DIST,3/1/17,CA,School District ,"9401 PAINTER AVEWHITTIER, LOS ANGELES, CA 90605-2729",170068926,Category1 Network Equipment ,$0.00,Likely,7,7 location WAN ,3/1 bid in conjunction with leased dark fiber vs. leased lit fiber bid.  FCC Form 470 170068453
Lemon Grove Elementary School Distirct ,12/16/16,CA,School District ,"8025 LINCOLN STLEMON GROVE, SAN DIEGO, CA 91945-2515",170051427,Leased lit fiber (1-10G) and Transport Only-No ISP Service Included  open to microwave and leased dark fiber ,"$500,000.00",Likely,9,9 school WAN- 47 miles of distance ,12/16- microwave seems logical; wrote applicant
Windsor School Distirct ,10/6/16,CA,School District ,"9291 OLD REDWOOD HWY BLDG 300WINDSOR, SONOMA, CA 95492-9217",170047997,Leased dark fiber vs. leased lit service,"$200,000.00",likely ,8,"District Wan with 8 locations in a rural, CA",10/6 Good RFP 
South Pasadena Unified School District ,1/12/17,CA,School District ,"1020 EL CENTRO STSOUTH PASADENA, LOS ANGELES, CA 91030-3118","170058965, 170058998","Category1 Network Equipment, Fiber Maintenance and Operations ",$0.00,Likely,5,Existing dark fiber network ,1/12 confirmed receipt 
Winton School District ,12/1/16,CA,School District ,"7000 N CENTER STWINTON, MERCED, CA 95388",170051947,Leased dark fiber vs. leased lit service vs. self provisioning ,"$500,000.00",Likely,7,Leased dark fiber option for 7 locations and self provisioning option for one location on a 7 school proposed WAN,12/1-confirmed receipt -- experienced applicant 
Los Angeles Unified School District ,12/9/16,CA,School District ,"333 S BEAUDRY AVELOS ANGELES, LOS ANGELES, CA 90017",170053695,Leased dark fiber vs. leased lit fiber (500 mbps-2G) ,"$5,000.00",Likely,1,One location bidding a dark fiber option,12/9 confirmed receipt 2/1 This was before the guidance.
