,ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1,fcdl_comment_cleaned,fcdl_comment_array
85,86,"DR1:Thirty percent or more of this FRN includes a request for Lightspeed - Bottle Rocket SYS-WF-BR which is an ineligible product(s) based on Program rules, which is an ineligible use based on Program rules.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 thirty percent frn includes request lightspeed bottle rocket sys wf br ineligible product based program rules ineligible use based program rules,"['dr1', 'thirty', 'percent', 'frn', 'includes', 'request', 'lightspeed', 'bottle', 'rocket', 'sys', 'wf', 'br', 'ineligible', 'product', 'based', 'program', 'rules', 'ineligible', 'use', 'based', 'program', 'rules']"
86,87,"DR1:FCC Rules require applicants to evaluate the cost effectiveness of the fiber solutions. Documentation provided failed to demonstrate a sufficient cost analysis of leased dark fiber and leased lit fiber occurred during the bid selection process. Therefore, the applicant has violated the competitive bidding program rules.",,Competitive Bidding Violation,dr1 fcc rules require applicants evaluate cost effectiveness fiber solutions documentation provided failed demonstrate sufficient cost analysis leased dark fiber leased lit fiber occurred bid selection process therefore applicant violated competitive bidding program rules,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'evaluate', 'cost', 'effectiveness', 'fiber', 'solutions', 'documentation', 'provided', 'failed', 'demonstrate', 'sufficient', 'cost', 'analysis', 'leased', 'dark', 'fiber', 'leased', 'lit', 'fiber', 'occurred', 'bid', 'selection', 'process', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules']"
87,88,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 04/04/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.;MR1:The Total Project Plant Route Feet and Average Cost Per Foot of Outside Plant for FRN was modified from 15,840 feet and $3.91/foot to 2,559 feet and $24.23/foot to agree with the applicant documentation.",,Competitive Bidding Violation - 28 day failure,dr1 documentation contained information needed potential bidders respond rfp available 28 days e rate productivity portal selecting service provider 04 04 2016 uploaded rfp addendum contains significant information bidders able respond fcc form 470 rfp however documentation available e rate productivity portal 28 days therefore frn denied program procedures require fcc form 470 rfp documentation providing additional modifying original information fcc form 470 request proposal uploaded fcc form 470 e rate productivity portal made available 28 days selecting service provider mr1 total project plant route feet average cost per foot outside plant frn modified 15 840 feet 3 91 foot 2 559 feet 24 23 foot agree applicant documentation,"['dr1', 'documentation', 'contained', 'information', 'needed', 'potential', 'bidders', 'respond', 'rfp', 'available', '28', 'days', 'e', 'rate', 'productivity', 'portal', 'selecting', 'service', 'provider', '04', '04', '2016', 'uploaded', 'rfp', 'addendum', 'contains', 'significant', 'information', 'bidders', 'able', 'respond', 'fcc', 'form', '470', 'rfp', 'however', 'documentation', 'available', 'e', 'rate', 'productivity', 'portal', '28', 'days', 'therefore', 'frn', 'denied', 'program', 'procedures', 'require', 'fcc', 'form', '470', 'rfp', 'documentation', 'providing', 'additional', 'modifying', 'original', 'information', 'fcc', 'form', '470', 'request', 'proposal', 'uploaded', 'fcc', 'form', '470', 'e', 'rate', 'productivity', 'portal', 'made', 'available', '28', 'days', 'selecting', 'service', 'provider', 'mr1', 'total', 'project', 'plant', 'route', 'feet', 'average', 'cost', 'per', 'foot', 'outside', 'plant', 'frn', 'modified', '15', '840', 'feet', '3', '91', 'foot', '2', '559', 'feet', '24', '23', 'foot', 'agree', 'applicant', 'documentation']"
88,89,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 04/04/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider. ;MR1:The Contract Award Date was changed from 5/2/2015 to 5/3/2016 to agree with the documentation provided during the review of the FCC Form 471.;MR2:The Total Project Plant Route Feet and Average Cost Per Foot of Outside Plant for FRN was modified from 62,784 feet and $0.40/foot to 5,938 feet and $4.21/foot to agree with the applicant documentation.",,Competitive Bidding Violation - 28 day failure,dr1 documentation contained information needed potential bidders respond rfp available 28 days e rate productivity portal selecting service provider 04 04 2016 uploaded rfp addendum contains significant information bidders able respond fcc form 470 rfp however documentation available e rate productivity portal 28 days therefore frn denied program procedures require fcc form 470 rfp documentation providing additional modifying original information fcc form 470 request proposal uploaded fcc form 470 e rate productivity portal made available 28 days selecting service provider mr1 contract award date changed 5 2 2015 5 3 2016 agree documentation provided review fcc form 471 mr2 total project plant route feet average cost per foot outside plant frn modified 62 784 feet 0 40 foot 5 938 feet 4 21 foot agree applicant documentation,"['dr1', 'documentation', 'contained', 'information', 'needed', 'potential', 'bidders', 'respond', 'rfp', 'available', '28', 'days', 'e', 'rate', 'productivity', 'portal', 'selecting', 'service', 'provider', '04', '04', '2016', 'uploaded', 'rfp', 'addendum', 'contains', 'significant', 'information', 'bidders', 'able', 'respond', 'fcc', 'form', '470', 'rfp', 'however', 'documentation', 'available', 'e', 'rate', 'productivity', 'portal', '28', 'days', 'therefore', 'frn', 'denied', 'program', 'procedures', 'require', 'fcc', 'form', '470', 'rfp', 'documentation', 'providing', 'additional', 'modifying', 'original', 'information', 'fcc', 'form', '470', 'request', 'proposal', 'uploaded', 'fcc', 'form', '470', 'e', 'rate', 'productivity', 'portal', 'made', 'available', '28', 'days', 'selecting', 'service', 'provider', 'mr1', 'contract', 'award', 'date', 'changed', '5', '2', '2015', '5', '3', '2016', 'agree', 'documentation', 'provided', 'review', 'fcc', 'form', '471', 'mr2', 'total', 'project', 'plant', 'route', 'feet', 'average', 'cost', 'per', 'foot', 'outside', 'plant', 'frn', 'modified', '62', '784', 'feet', '0', '40', 'foot', '5', '938', 'feet', '4', '21', 'foot', 'agree', 'applicant', 'documentation']"
89,90,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 3/18/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days before you selected the service provider. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.",,Competitive Bidding Violation - 28 day failure,dr1 documentation contained information needed potential bidders respond rfp available 28 days e rate productivity portal selecting service provider 3 18 2016 uploaded rfp addendum contains significant information bidders able respond fcc form 470 rfp however documentation available e rate productivity portal 28 days selected service provider therefore frn denied program procedures require fcc form 470 rfp documentation providing additional modifying original information fcc form 470 request proposal uploaded fcc form 470 e rate productivity portal made available 28 days selecting service provider,"['dr1', 'documentation', 'contained', 'information', 'needed', 'potential', 'bidders', 'respond', 'rfp', 'available', '28', 'days', 'e', 'rate', 'productivity', 'portal', 'selecting', 'service', 'provider', '3', '18', '2016', 'uploaded', 'rfp', 'addendum', 'contains', 'significant', 'information', 'bidders', 'able', 'respond', 'fcc', 'form', '470', 'rfp', 'however', 'documentation', 'available', 'e', 'rate', 'productivity', 'portal', '28', 'days', 'selected', 'service', 'provider', 'therefore', 'frn', 'denied', 'program', 'procedures', 'require', 'fcc', 'form', '470', 'rfp', 'documentation', 'providing', 'additional', 'modifying', 'original', 'information', 'fcc', 'form', '470', 'request', 'proposal', 'uploaded', 'fcc', 'form', '470', 'e', 'rate', 'productivity', 'portal', 'made', 'available', '28', 'days', 'selecting', 'service', 'provider']"
90,91,"DR1:The Category Two budget for BEN 114589 is $79,950.00. Your total requested Category Two pre-discount funding amount for BEN 114589 exceeds this entityâ€™s Category Two Budget by: $4,783.54. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.;DR2:The Category Two budget for BEN 114592 is $40,050.00. Your total requested Category Two pre-discount funding amount for BEN 114592 exceeds this entityâ€™s Category Two Budget by: $1,734.30. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded,dr1 category two budget ben 114589 79 950 00 total requested category two pre discount funding amount ben 114589 exceeds entityâ€™s category two budget 4 783 54 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget dr2 category two budget ben 114592 40 050 00 total requested category two pre discount funding amount ben 114592 exceeds entityâ€™s category two budget 1 734 30 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '114589', '79', '950', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '114589', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '4', '783', '54', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget', 'dr2', 'category', 'two', 'budget', 'ben', '114592', '40', '050', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '114592', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '1', '734', '30', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
91,92,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: modifications to bring entities 114537, 114538, 114539, 114542, 114543 and 114545 within their allowable Category Two budget.",,Category 2 budget exceeded,dr1 applicant provided sufficient documentation needed determine eligibility following items modifications bring entities 114537 114538 114539 114542 114543 114545 within allowable category two budget,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'items', 'modifications', 'bring', 'entities', '114537', '114538', '114539', '114542', '114543', '114545', 'within', 'allowable', 'category', 'two', 'budget']"
92,93,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: modifications to bring entities 114537, 114538, 114539, 114542, 114543 and 114545 within their allowable Category Two budget.",,Category 2 budget exceeded,dr1 applicant provided sufficient documentation needed determine eligibility following items modifications bring entities 114537 114538 114539 114542 114543 114545 within allowable category two budget,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'items', 'modifications', 'bring', 'entities', '114537', '114538', '114539', '114542', '114543', '114545', 'within', 'allowable', 'category', 'two', 'budget']"
93,94,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 3/18/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days before you selected the service provider. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.",,Competitive Bidding Violation - 28 day failure,dr1 documentation contained information needed potential bidders respond rfp available 28 days e rate productivity portal selecting service provider 3 18 2016 uploaded rfp addendum contains significant information bidders able respond fcc form 470 rfp however documentation available e rate productivity portal 28 days selected service provider therefore frn denied program procedures require fcc form 470 rfp documentation providing additional modifying original information fcc form 470 request proposal uploaded fcc form 470 e rate productivity portal made available 28 days selecting service provider,"['dr1', 'documentation', 'contained', 'information', 'needed', 'potential', 'bidders', 'respond', 'rfp', 'available', '28', 'days', 'e', 'rate', 'productivity', 'portal', 'selecting', 'service', 'provider', '3', '18', '2016', 'uploaded', 'rfp', 'addendum', 'contains', 'significant', 'information', 'bidders', 'able', 'respond', 'fcc', 'form', '470', 'rfp', 'however', 'documentation', 'available', 'e', 'rate', 'productivity', 'portal', '28', 'days', 'selected', 'service', 'provider', 'therefore', 'frn', 'denied', 'program', 'procedures', 'require', 'fcc', 'form', '470', 'rfp', 'documentation', 'providing', 'additional', 'modifying', 'original', 'information', 'fcc', 'form', '470', 'request', 'proposal', 'uploaded', 'fcc', 'form', '470', 'e', 'rate', 'productivity', 'portal', 'made', 'available', '28', 'days', 'selecting', 'service', 'provider']"
94,95,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules. ;DR2:FCC Rules require applicants to evaluate the cost effectiveness of the fiber solutions. Documentation provided failed to demonstrate a sufficient cost analysis of leased dark fiber service and leased lit fiber service occurred during the bid selection process. Therefore, the applicant has violated the competitive bidding program rules.;MR1:This is a new FRN. It was created in order to change the answer to the Fiber question from Yes as listed on FRN 1699051978 to No based on the supporting documentation.",,Competitive Bidding Violation - price not primary factor,dr1 fcc rules require applicants carefully consider bids submitted service providers choose cost effective solution documentation provided demonstrates applicant consider bids submitted therefore applicant violated competitive bidding program rules dr2 fcc rules require applicants evaluate cost effectiveness fiber solutions documentation provided failed demonstrate sufficient cost analysis leased dark fiber service leased lit fiber service occurred bid selection process therefore applicant violated competitive bidding program rules mr1 new frn created order change answer fiber question yes listed frn 1699051978 based supporting documentation,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'carefully', 'consider', 'bids', 'submitted', 'service', 'providers', 'choose', 'cost', 'effective', 'solution', 'documentation', 'provided', 'demonstrates', 'applicant', 'consider', 'bids', 'submitted', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules', 'dr2', 'fcc', 'rules', 'require', 'applicants', 'evaluate', 'cost', 'effectiveness', 'fiber', 'solutions', 'documentation', 'provided', 'failed', 'demonstrate', 'sufficient', 'cost', 'analysis', 'leased', 'dark', 'fiber', 'service', 'leased', 'lit', 'fiber', 'service', 'occurred', 'bid', 'selection', 'process', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules', 'mr1', 'new', 'frn', 'created', 'order', 'change', 'answer', 'fiber', 'question', 'yes', 'listed', 'frn', '1699051978', 'based', 'supporting', 'documentation']"
95,96,"DR1:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Fiber Review Information Request. Documentation was not provided to determine the eligibility of the special construction charges. Specifically, applicant failed to respond to administrator's request for additional information on excess fiber strands and it s intended use. ;MR1:This is a new FRN. It was split from FRN 1699127018. The new FRN contains the following product(s)/service(s): Dark Fiber Special Construction",,Fiber review failure,dr1 frn denied applicant failed respond administratorâ€™s fiber review information request documentation provided determine eligibility special construction charges specifically applicant failed respond administrator request additional information excess fiber strands intended use mr1 new frn split frn 1699127018 new frn contains following product service dark fiber special construction,"['dr1', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administratorâ€™s', 'fiber', 'review', 'information', 'request', 'documentation', 'provided', 'determine', 'eligibility', 'special', 'construction', 'charges', 'specifically', 'applicant', 'failed', 'respond', 'administrator', 'request', 'additional', 'information', 'excess', 'fiber', 'strands', 'intended', 'use', 'mr1', 'new', 'frn', 'split', 'frn', '1699127018', 'new', 'frn', 'contains', 'following', 'product', 'service', 'dark', 'fiber', 'special', 'construction']"
96,97,"DR1:This is a new FRN. It was created because the service type on FRN 1699079473 was listed as Internal Connections. However, the products or services being requested are BMIC and will be treated as such. This FRN is denied because the FCC Form 470 that established the competitive bidding process for this FRN did not include BMIC and therefore it does not meet the 28 day competitive bidding requirement.",,470 / 471 Mismatch,dr1 new frn created service type frn 1699079473 listed internal connections however products services requested bmic treated frn denied fcc form 470 established competitive bidding process frn include bmic therefore meet 28 day competitive bidding requirement,"['dr1', 'new', 'frn', 'created', 'service', 'type', 'frn', '1699079473', 'listed', 'internal', 'connections', 'however', 'products', 'services', 'requested', 'bmic', 'treated', 'frn', 'denied', 'fcc', 'form', '470', 'established', 'competitive', 'bidding', 'process', 'frn', 'include', 'bmic', 'therefore', 'meet', '28', 'day', 'competitive', 'bidding', 'requirement']"
97,98,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Make/Model Number, SKU, and Equipment List.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item make model number sku equipment list,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'make', 'model', 'number', 'sku', 'equipment', 'list']"
98,99,"DR1:The Category Two budget for BEN 18084 is 11,500.00. Your total requested Category Two pre-discount funding amount for BEN 18084 exceeds this entityâ€™s Category Two Budget by: 2,367.29. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget. ;DR2:The Category Two budget for BEN 18272 is 11,500.00. Your total requested Category Two pre-discount funding amount for BEN 18272 exceeds this entityâ€™s Category Two Budget by: $2,367.29. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded,dr1 category two budget ben 18084 11 500 00 total requested category two pre discount funding amount ben 18084 exceeds entityâ€™s category two budget 2 367 29 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget dr2 category two budget ben 18272 11 500 00 total requested category two pre discount funding amount ben 18272 exceeds entityâ€™s category two budget 2 367 29 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '18084', '11', '500', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '18084', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '2', '367', '29', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget', 'dr2', 'category', 'two', 'budget', 'ben', '18272', '11', '500', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '18272', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '2', '367', '29', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
99,100,DR1:The FCCâ€™s Eligible Services List states that installation and configuration of products and services is only eligible if it is a part of the contract or bid for those eligible products and services. This funding request is for Software Operating System PAN-PA-3020-TP-R and PAN-PA-3020-WF-R which are note eligible for E-rate funding in FRN 1699006987; therefore funding is denied.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 fccâ€™s eligible services list states installation configuration products services eligible part contract bid eligible products services funding request software operating system pan pa 3020 tp r pan pa 3020 wf r note eligible e rate funding frn 1699006987 therefore funding denied,"['dr1', 'fccâ€™s', 'eligible', 'services', 'list', 'states', 'installation', 'configuration', 'products', 'services', 'eligible', 'part', 'contract', 'bid', 'eligible', 'products', 'services', 'funding', 'request', 'software', 'operating', 'system', 'pan', 'pa', '3020', 'tp', 'r', 'pan', 'pa', '3020', 'wf', 'r', 'note', 'eligible', 'e', 'rate', 'funding', 'frn', '1699006987', 'therefore', 'funding', 'denied']"
100,101,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):Basic Maintenance of Internal Connections..,,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item basic maintenance internal connections,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'basic', 'maintenance', 'internal', 'connections']"
101,102,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): copy of invoice or contract for voice services and service match verification.,MR1:The applicant did not submit any RAL corrections.,No signed contract in place,dr1 applicant provided sufficient documentation needed determine eligibility following item copy invoice contract voice services service match verification,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'copy', 'invoice', 'contract', 'voice', 'services', 'service', 'match', 'verification']"
102,103,"DR1:The FCC Form 470 associated with this FRN contains service provider contact information.Â  Specifically, the following the Technical Contact Information of the FCC Form 470 matches contact information from service provider Velocity.Net Communications, Inc. (SPIN 143032173): Phone Number 814-833-9111. A competitive bidding violation occurs when a service provider associated with a FCC Form 470 participates in the competitive bidding process. Therefore, funding is denied.",,Competitive Bidding Violation - specified vendor in 470,dr1 fcc form 470 associated frn contains service provider contact information â specifically following technical contact information fcc form 470 matches contact information service provider velocity net communications inc spin 143032173 phone number 814 833 9111 competitive bidding violation occurs service provider associated fcc form 470 participates competitive bidding process therefore funding denied,"['dr1', 'fcc', 'form', '470', 'associated', 'frn', 'contains', 'service', 'provider', 'contact', 'information', 'â', 'specifically', 'following', 'technical', 'contact', 'information', 'fcc', 'form', '470', 'matches', 'contact', 'information', 'service', 'provider', 'velocity', 'net', 'communications', 'inc', 'spin', '143032173', 'phone', 'number', '814', '833', '9111', 'competitive', 'bidding', 'violation', 'occurs', 'service', 'provider', 'associated', 'fcc', 'form', '470', 'participates', 'competitive', 'bidding', 'process', 'therefore', 'funding', 'denied']"
103,104,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation.,MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation']"
104,105,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation.,MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation']"
105,106,"DR1:The Category Two budget for BEN 16035049 is $33,750.00. Your total requested Category Two pre-discount funding amount for BEN 16035049 exceeds this entityâ€™s Category Two Budget by: $12,400.08. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded,dr1 category two budget ben 16035049 33 750 00 total requested category two pre discount funding amount ben 16035049 exceeds entityâ€™s category two budget 12 400 08 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '16035049', '33', '750', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '16035049', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '12', '400', '08', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
