,bigram,count,phrase_array,category_arrays
3022,"('item', 'validation')",2,item validation,[]
3023,"('recover', 'fee')",2,recover fee,[]
3024,"('indicates', 'bidders')",2,indicates bidders,['Competitive Bidding Violation - price not primary factor']
3025,"('entities', '17010910')",2,entities 17010910,[]
3026,"('pr', 'department')",2,pr department,[]
3027,"('entity', 'discount')",2,entity discount,[]
3028,"('information', 'included')",2,information included,[]
3029,"('entity', 'dupage')",2,entity dupage,[]
3030,"('municipality', 'san')",2,municipality san,[]
3031,"('evaluation', 'primary')",2,evaluation primary,['Competitive Bidding Violation - price not primary factor']
3032,"('multiple', 'service')",2,multiple service,[]
3033,"('item', '1799006128')",2,item 1799006128,[]
3034,"('phones', 'ineligible')",2,phones ineligible,[]
3035,"('phone', 'voice')",2,phone voice,['Competitive Bidding Violation']
3036,"('month', '2')",2,month 2,['Missing documentation needed to determine eligible service']
3037,"('item', '2017')",2,item 2017,[]
3038,"('establishingform', '470')",2,establishingform 470,[]
3039,"('insurance', 'premium')",2,insurance premium,[]
3040,"('received', 'absent')",2,received absent,['Competitive Bidding Violation - price not primary factor']
3041,"('population', 'closed')",2,population closed,[]
3042,"('item', '735')",2,item 735,[]
3043,"('item', 'amount')",2,item amount,[]
3044,"('portable', 'device')",2,portable device,[]
3045,"('points', 'download')",2,points download,['Competitive Bidding Violation - price not primary factor']
3046,"('1', '614')",2,1 614,[]
3047,"('entity', 'entities')",2,entity entities,[]
3048,"('143001192', 'amp')",2,143001192 amp,[]
3049,"('involved', 'preparation')",2,involved preparation,[]
3050,"('evaluation', 'contains')",2,evaluation contains,['Competitive Bidding Violation - price not primary factor']
3051,"('invoice', 'contract')",2,invoice contract,['No signed contract in place']
3052,"('evaluation', 'criterions')",2,evaluation criterions,['Competitive Bidding Violation - price not primary factor']
3053,"('mtm', 'services')",2,mtm services,[]
3054,"('evaluated', 'based')",2,evaluated based,['Competitive Bidding Violation - price not primary factor']
3055,"('item', '1699133245')",2,item 1699133245,[]
3056,"('item', '1699133282')",2,item 1699133282,[]
3057,"('evaluate', 'bid')",2,evaluate bid,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
3058,"('item', '1699133264')",2,item 1699133264,[]
3059,"('multiple', 'competing')",2,multiple competing,[]
3060,"('ethernet', 'fiber')",2,ethernet fiber,[]
3061,"('point', 'scale')",2,point scale,['Competitive Bidding Violation - price not primary factor']
3062,"('points', 'criteria')",2,points criteria,['Competitive Bidding Violation - price not primary factor']
3063,"('instance', 'proposal')",2,instance proposal,['Competitive Bidding Violation - price not primary factor']
3064,"('evaluation', 'shows')",2,evaluation shows,['Competitive Bidding Violation - price not primary factor']
3065,"('item', 'centro')",2,item centro,[]
3066,"('extensions', 'therefore')",2,extensions therefore,[]
3067,"('information', 'requested')",2,information requested,[]
3068,"('exorbitant', 'cannot')",2,exorbitant cannot,['Competitive Bidding Violation - price not primary factor']
3069,"('performed', 'webby')",2,performed webby,[]
3070,"('entity', 'mr1')",2,entity mr1,[]
3071,"('expiration', 'mandatory')",2,expiration mandatory,[]
3072,"('extension', 'violation')",2,extension violation,[]
3073,"('item', 'head')",2,item head,[]
3074,"('inquiries', 'fiber')",2,inquiries fiber,[]
3075,"('item', 'independent')",2,item independent,[]
3076,"('face', 'cost')",2,face cost,['Competitive Bidding Violation - price not primary factor']
3077,"('received', 'selected')",2,received selected,['Competitive Bidding Violation - price not primary factor']
3078,"('entity', 'file')",2,entity file,[]
3079,"('must', 'carefully')",2,must carefully,['Competitive Bidding Violation - price not primary factor']
3080,"('entity', 'fccform')",2,entity fccform,[]
3081,"('received', 'interconnected')",2,received interconnected,[]
3082,"('information', 'services')",2,information services,['Competitive Bidding Violation - price not primary factor']
3083,"('item', 'eligible')",2,item eligible,[]
3084,"('item', 'duplication')",2,item duplication,[]
3085,"('exempt', 'requirement')",2,exempt requirement,[]
3086,"('excluding', 'data')",2,excluding data,[]
3087,"('month', '8')",2,month 8,[]
3088,"('entity', 'utilized')",2,entity utilized,[]
3089,"('rate', '50')",2,rate 50,['Competitive Bidding Violation - price not primary factor']
3090,"('month', '796')",2,month 796,[]
3091,"('received', 'earlier')",2,received earlier,[]
3092,"('period', 'frn')",2,period frn,[]
3093,"('item', 'copy')",2,item copy,['No signed contract in place']
3094,"('period', 'occur')",2,period occur,[]
3095,"('month', '552')",2,month 552,[]
3096,"('exceeds', 'number')",2,exceeds number,[]
3097,"('initiated', 'bidding')",2,initiated bidding,['Competitive Bidding Violation - price not primary factor']
3098,"('independent', 'status')",2,independent status,['Missing documentation needed to determine eligible service']
3099,"('enrolled', 'students')",2,enrolled students,[]
3100,"('duplication', 'services')",2,duplication services,[]
3101,"('however', 'products')",2,however products,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
3102,"('effective', 'absent')",2,effective absent,['Competitive Bidding Violation - price not primary factor']
3103,"('100', 'point')",2,100 point,['Competitive Bidding Violation - price not primary factor']
3104,"('foreign', 'listing')",2,foreign listing,[]
3105,"('hub', 'site')",2,hub site,[]
3106,"('number', 'users')",2,number users,[]
3107,"('monthly', 'late')",2,monthly late,[]
3108,"('however', 'failed')",2,however failed,[]
3109,"('prices', 'two')",2,prices two,['Competitive Bidding Violation - price not primary factor']
3110,"('library', 'entity')",2,library entity,[]
3111,"('pricing', 'based')",2,pricing based,[]
3112,"('education', 'states')",2,education states,[]
3113,"('education', 'stated')",2,education stated,[]
3114,"('form', 'current')",2,form current,[]
3115,"('education', 'governing')",2,education governing,[]
3116,"('force', 'funding')",2,force funding,[]
3117,"('evaluating', 'bids')",2,evaluating bids,['Competitive Bidding Violation - price not primary factor']
3118,"('pricing', 'voice')",2,pricing voice,[]
3119,"('hunting', 'inside')",2,hunting inside,[]
3120,"('regional', 'network')",2,regional network,[]
3121,"('legal', 'division')",2,legal division,[]
3122,"('monthly', '905')",2,monthly 905,[]
3123,"('modified', '183')",2,modified 183,[]
3124,"('following', 'category')",2,following category,[]
3125,"('hunting', 'late')",2,hunting late,[]
3126,"('effective', 'service')",2,effective service,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
3127,"('effective', 'dr2')",2,effective dr2,[]
3128,"('letter', 'fcdl')",2,letter fcdl,[]
3129,"('monthly', 'cost')",2,monthly cost,['Competitive Bidding Violation - price not primary factor']
3130,"('provider', 'state')",2,provider state,[]
3131,"('prices', 'submitted')",2,prices submitted,['Competitive Bidding Violation - price not primary factor']
3132,"('effective', 'instance')",2,effective instance,['Competitive Bidding Violation - price not primary factor']
3133,"('effective', 'entities')",2,effective entities,['Competitive Bidding Violation - price not primary factor']
3134,"('education', 'dr2')",2,education dr2,[]
3135,"('education', 'consistent')",2,education consistent,[]
3136,"('payment', 'fee')",2,payment fee,[]
3137,"('health', 'check')",2,health check,[]
3138,"('provider', 'eligible')",2,provider eligible,['Competitive Bidding Violation - price not primary factor']
3139,"('overlapping', 'current')",2,overlapping current,[]
3140,"('frn', '16072034')",2,frn 16072034,['Applicant ineligible']
3141,"('number', 'name')",2,number name,[]
3142,"('earlier', 'date')",2,earlier date,[]
3143,"('line', '4')",2,line 4,[]
3144,"('relevant', 'factors')",2,relevant factors,['Competitive Bidding Violation - price not primary factor']
3145,"('line', '3')",2,line 3,[]
3146,"('prior', 'allowable')",2,prior allowable,[]
3147,"('113', '485')",2,113 485,['Competitive Bidding Violation']
3148,"('duplicative', 'service')",2,duplicative service,['Missing documentation needed to determine eligible service']
3149,"('messaging', 'service')",2,messaging service,[]
3150,"('messaging', 'services')",2,messaging services,[]
3151,"('remain', 'ineligible')",2,remain ineligible,[]
3152,"('early', 'learning')",2,early learning,[]
3153,"('frn', '16054648')",2,frn 16054648,[]
3154,"('education', 'commonwealth')",2,education commonwealth,[]
3155,"('number', 'requested')",2,number requested,[]
3156,"('education', 'authorized')",2,education authorized,[]
3157,"('hotspots', 'justified')",2,hotspots justified,[]
3158,"('messaging', 'data')",2,messaging data,['Ineligible Service']
3159,"('new', 'product')",2,new product,[]
3160,"('likewise', 'time')",2,likewise time,['Competitive Bidding Violation - price not primary factor']
3161,"('ed', 'center')",2,ed center,[]
3162,"('provider', 'participates')",2,provider participates,[]
3163,"('line', '20')",2,line 20,[]
3164,"('high', 'speed')",2,high speed,[]
3165,"('provider', 'frn')",2,provider frn,[]
3166,"('pablo', 'valentín')",2,pablo valentín,[]
3167,"('high', 'school')",2,high school,[]
3168,"('free', 'canada')",2,free canada,[]
3169,"('free', 'charge')",2,free charge,[]
3170,"('either', 'fcc')",2,either fcc,['Competitive Bidding Violation - price not primary factor']
3171,"('providerfor', 'frn')",2,providerfor frn,[]
3172,"('143037005', 'charter')",2,143037005 charter,[]
3173,"('includes', 'connection')",2,includes connection,[]
3174,"('kairos', 'entity')",2,kairos entity,[]
3175,"('present', 'extenuating')",2,present extenuating,['Competitive Bidding Violation - price not primary factor']
3176,"('eligible', 'line')",2,eligible line,[]
3177,"('fee', 'voicemail')",2,fee voicemail,[]
3178,"('fiber', 'agree')",2,fiber agree,[]
3179,"('mr2', 'new')",2,mr2 new,[]
3180,"('included', 'pricing')",2,included pricing,[]
3181,"('reduced', '20')",2,reduced 20,[]
3182,"('eligible', 'entities')",2,eligible entities,[]
3183,"('kairos', 'ii')",2,kairos ii,[]
3184,"('eligible', 'element')",2,eligible element,[]
3185,"('key', 'nonrotary')",2,key nonrotary,[]
3186,"('143029770', 'telepacific')",2,143029770 telepacific,[]
3187,"('l', 'c')",2,l c,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
3188,"('eligible', 'monthly')",2,eligible monthly,['Missing documentation needed to determine eligible service']
3189,"('eligible', 'services')",2,eligible services,"['Competitive Bidding Violation - price not primary factor', 'Ineligible Service']"
3190,"('filing', 'window')",2,filing window,[]
3191,"('items', 'vendor')",2,items vendor,[]
3192,"('items', 'frn')",2,items frn,['Missing documentation needed to determine eligible service']
3193,"('end', '28')",2,end 28,[]
3194,"('items', 'quantity')",2,items quantity,[]
3195,"('pattern', 'analysis')",2,pattern analysis,[]
3196,"('email', 'school')",2,email school,['Competitive Bidding Violation - price not primary factor']
3197,"('providing', 'dedicated')",2,providing dedicated,['Competitive Bidding Violation - price not primary factor']
3198,"('party', 'purchases')",2,party purchases,[]
3199,"('fee', 'toll')",2,fee toll,[]
3200,"('premise', 'ineligible')",2,premise ineligible,[]
3201,"('preparation', 'certification')",2,preparation certification,[]
3202,"('josh', 'meyers')",2,josh meyers,[]
3203,"('juan', 'eligible')",2,juan eligible,[]
3204,"('fee', 'router')",2,fee router,[]
3205,"('juan', 'local')",2,juan local,[]
3206,"('modified', 'bens')",2,modified bens,[]
3207,"('l', 'l')",2,l l,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
3208,"('included', 'fcc')",2,included fcc,[]
3209,"('lease', 'option')",2,lease option,[]
3210,"('lease', 'dark')",2,lease dark,[]
3211,"('providers', 'either')",2,providers either,['Competitive Bidding Violation - price not primary factor']
3212,"('identifying', 'cost')",2,identifying cost,[]
3213,"('modified', '250')",2,modified 250,[]
3214,"('network', 'internet')",2,network internet,[]
3215,"('network', 'substantially')",2,network substantially,['470 / 471 Mismatch']
3216,"('143034129', 'star2star')",2,143034129 star2star,[]
3217,"('pri', 'full')",2,pri full,[]
3218,"('file', 'e')",2,file e,[]
3219,"('networks', 'l')",2,networks l,['Competitive Bidding Violation']
3220,"('elementary', 'education')",2,elementary education,[]
3221,"('price', 'services')",2,price services,['Competitive Bidding Violation - price not primary factor']
3222,"('filed', 'puerto')",2,filed puerto,[]
3223,"('providers', 'applicants')",2,providers applicants,['Competitive Bidding Violation - price not primary factor']
3224,"('fiber', 'transport')",2,fiber transport,[]
3225,"('fiber', 'technologies')",2,fiber technologies,['Competitive Bidding Violation']
3226,"('fiber', 'services')",2,fiber services,[]
3227,"('lea', 'therefore')",2,lea therefore,[]
3228,"('ld', 'telephone')",2,ld telephone,[]
3229,"('needed', 'verify')",2,needed verify,['Missing documentation needed to determine eligible service']
3230,"('messaging', 'agree')",2,messaging agree,[]
3231,"('1', 'internet')",2,1 internet,[]
3232,"('mr2', 'monthly')",2,mr2 monthly,[]
3233,"('modified', '6')",2,modified 6,['Competitive Bidding Violation - 28 day failure']
3234,"('include', 'extension')",2,include extension,[]
3235,"('law', 'definitions')",2,law definitions,[]
3236,"('include', 'internal')",2,include internal,['Ineligible Service']
3237,"('law', '40')",2,law 40,[]
3238,"('providers', 'location')",2,providers location,[]
3239,"('modified', '820')",2,modified 820,[]
3240,"('naperville', 'entity')",2,naperville entity,[]
3241,"('item', '001')",2,item 001,[]
3242,"('consideration', 'school')",2,consideration school,['Competitive Bidding Violation - price not primary factor']
3243,"('telepacific', 'communications')",2,telepacific communications,[]
3244,"('applicant’s', 'hub')",2,applicant’s hub,[]
3245,"('00', 'otc')",2,00 otc,[]
3246,"('stated', 'may')",2,stated may,['Competitive Bidding Violation - price not primary factor']
3247,"('stated', 'entity')",2,stated entity,[]
3248,"('234', '70')",2,234 70,[]
3249,"('applicant', 'site')",2,applicant site,[]
3250,"('applicant', 'selecting')",2,applicant selecting,[]
3251,"('unable', 'process')",2,unable process,[]
3252,"('225', '41')",2,225 41,[]
3253,"('applicant', 'post')",2,applicant post,[]
3254,"('unit', 'ineligible')",2,unit ineligible,[]
3255,"('applicant', 'must')",2,applicant must,['Competitive Bidding Violation - specified vendor in 470']
3256,"('telecom’s', 'bid')",2,telecom’s bid,[]
3257,"('502', '31')",2,502 31,[]
3258,"('state', 'selecting')",2,state selecting,['Competitive Bidding Violation - price not primary factor']
3259,"('applicant', 'move')",2,applicant move,[]
3260,"('applicant', 'included')",2,applicant included,[]
3261,"('1699010929', 'dark')",2,1699010929 dark,[]
3262,"('service', 'ben')",2,service ben,[]
3263,"('service', 'billed')",2,service billed,[]
3264,"('service', 'campus')",2,service campus,[]
3265,"('state', 'regional')",2,state regional,[]
3266,"('appears', 'operational')",2,appears operational,[]
3267,"('state', 'puerto')",2,state puerto,[]
3268,"('24', '95')",2,24 95,[]
3269,"('violate', 'rulerequirement')",2,violate rulerequirement,[]
3270,"('5', '318')",2,5 318,[]
3271,"('50', 'mbps')",2,50 mbps,['Competitive Bidding Violation - price not primary factor']
3272,"('voice', 'cellular')",2,voice cellular,[]
3273,"('service', '16')",2,service 16,[]
3274,"('states', 'local')",2,states local,[]
3275,"('voc', 'ed')",2,voc ed,[]
3276,"('17004786', '17004788')",2,17004786 17004788,[]
3277,"('asked', 'clarify')",2,asked clarify,[]
3278,"('17004788', 'meet')",2,17004788 meet,[]
3279,"('service', '18')",2,service 18,[]
3280,"('5', '690')",2,5 690,[]
3281,"('25', '2016')",2,25 2016,['Competitive Bidding Violation']
3282,"('service', '2')",2,service 2,[]
3283,"('violation', 'specifically')",2,violation specifically,[]
3284,"('area', 'voc')",2,area voc,[]
3285,"('apply', 'purposes')",2,apply purposes,[]
3286,"('applications', 'filed')",2,applications filed,[]
3287,"('application', 'puerto')",2,application puerto,[]
3288,"('application', 'hosting')",2,application hosting,[]
3289,"('violates', 'fcc')",2,violates fcc,['Competitive Bidding Violation - price not primary factor']
3290,"('application', 'asked')",2,application asked,[]
3291,"('application', '171041363')",2,application 171041363,[]
3292,"('service', '32')",2,service 32,[]
3293,"('stated', 'specs')",2,stated specs,['Competitive Bidding Violation - price not primary factor']
3294,"('50', 'agree')",2,50 agree,[]
3295,"('service', 'contractual')",2,service contractual,[]
3296,"('state', 'pr')",2,state pr,[]
3297,"('university', 'meet')",2,university meet,[]
3298,"('service', 'directory')",2,service directory,['Competitive Bidding Violation']
3299,"('17010982', '17010985')",2,17010982 17010985,[]
3300,"('17010985', '17010986')",2,17010985 17010986,[]
3301,"('17010986', '17010988')",2,17010986 17010988,[]
3302,"('17010988', '17010989')",2,17010988 17010989,[]
3303,"('17010989', '17010990')",2,17010989 17010990,[]
3304,"('17010990', '17011094')",2,17010990 17011094,[]
3305,"('service', 'made')",2,service made,[]
3306,"('service', 'match')",2,service match,['No signed contract in place']
3307,"('17010992', '17011096')",2,17010992 17011096,[]
3308,"('17011090', '17011091')",2,17011090 17011091,[]
3309,"('service', 'mismatch')",2,service mismatch,[]
3310,"('17011091', '17010980')",2,17011091 17010980,[]
3311,"('service', 'mobile')",2,service mobile,[]
3312,"('17011093', '17010982')",2,17011093 17010982,[]
3313,"('17011094', '17011095')",2,17011094 17011095,[]
3314,"('start', 'municipality')",2,start municipality,[]
3315,"('17011095', '17010992')",2,17011095 17010992,[]
3316,"('17011096', '17011097')",2,17011096 17011097,[]
3317,"('17011097', '17011098')",2,17011097 17011098,[]
3318,"('17011098', '17011099')",2,17011098 17011099,[]
3319,"('service', 'nationwide')",2,service nationwide,[]
3320,"('17011099', '17011104')",2,17011099 17011104,[]
3321,"('star2star', 'communications')",2,star2star communications,[]
3322,"('17010980', '17011093')",2,17010980 17011093,[]
3323,"('service', 'includes')",2,service includes,[]
3324,"('17010978', '17011090')",2,17010978 17011090,[]
3325,"('210', '70')",2,210 70,[]
3326,"('service', 'dr2')",2,service dr2,['Ineligible Service']
3327,"('17007968', 'eligible')",2,17007968 eligible,[]
3328,"('analysis', 'leased')",2,analysis leased,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
3329,"('analysis', 'information')",2,analysis information,[]
3330,"('215', '41')",2,215 41,[]
3331,"('213', 'agree')",2,213 agree,[]
3332,"('state', 'education')",2,state education,[]
3333,"('17008786', 'eligible')",2,17008786 eligible,[]
3334,"('17008788', 'centro')",2,17008788 centro,[]
3335,"('17008813', 'meet')",2,17008813 meet,[]
3336,"('service', 'fcc')",2,service fcc,[]
3337,"('17010977', '17010978')",2,17010977 17010978,[]
3338,"('amp', 'frn')",2,amp frn,[]
3339,"('amp', 'corp')",2,amp corp,[]
3340,"('amp', 'cellular')",2,amp cellular,[]
3341,"('service', 'feature')",2,service feature,[]
3342,"('52', 'service')",2,52 service,[]
3343,"('amp', '002')",2,amp 002,[]
3344,"('17010564', 'head')",2,17010564 head,[]
3345,"('service', 'foreign')",2,service foreign,[]
3346,"('17010910', '17010975')",2,17010910 17010975,[]
3347,"('17010975', '17010977')",2,17010975 17010977,[]
3348,"('voice', 'excluding')",2,voice excluding,[]
3349,"('service', '10')",2,service 10,[]
3350,"('amendment', 'rfp')",2,amendment rfp,[]
3351,"('471', 'submitted')",2,471 submitted,[]
3352,"('16080423', 'agree')",2,16080423 agree,[]
3353,"('16080423', 'ben')",2,16080423 ben,[]
3354,"('16080475', '16080476')",2,16080475 16080476,[]
3355,"('schools', 'furthermore')",2,schools furthermore,[]
3356,"('16080476', '17002252')",2,16080476 17002252,[]
3357,"('bidders', 'evaluated')",2,bidders evaluated,['Competitive Bidding Violation - price not primary factor']
3358,"('16080477', '16080423')",2,16080477 16080423,[]
3359,"('16080478', '16080477')",2,16080478 16080477,[]
3360,"('26', 'per')",2,26 per,[]
3361,"('bidder', 'cannot')",2,bidder cannot,[]
3362,"('tri', 'county')",2,tri county,[]
3363,"('16081670', 'closed')",2,16081670 closed,[]
3364,"('bid', 'two')",2,bid two,['Competitive Bidding Violation - price not primary factor']
3365,"('bid', 'selection')",2,bid selection,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
3366,"('16082457', 'st')",2,16082457 st,[]
3367,"('trk', 'features')",2,trk features,[]
3368,"('bid', 'review')",2,bid review,[]
3369,"('bid', 'response')",2,bid response,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
3370,"('bid', 'proposal')",2,bid proposal,['Competitive Bidding Violation - price not primary factor']
3371,"('bid', 'proficient')",2,bid proficient,[]
3372,"('bid', 'period')",2,bid period,[]
3373,"('vpn', 'ineligible')",2,vpn ineligible,[]
3374,"('schools', 'puerto')",2,schools puerto,[]
3375,"('48', 'service')",2,48 service,[]
3376,"('bidding', 'documentation')",2,bidding documentation,[]
3377,"('separately', 'agree')",2,separately agree,[]
3378,"('7', '29')",2,7 29,['Category 2 budget exceeded']
3379,"('submitted', 'must')",2,submitted must,['Competitive Bidding Violation - price not primary factor']
3380,"('transport', 'program')",2,transport program,[]
3381,"('broadband', 'service')",2,broadband service,[]
3382,"('submitted', 'expiration')",2,submitted expiration,[]
3383,"('treated', 'frn')",2,treated frn,"['Ineligible Service', '470 / 471 Mismatch']"
3384,"('submitted', 'bid')",2,submitted bid,[]
3385,"('warner', 'cable')",2,warner cable,[]
3386,"('471', 'filing')",2,471 filing,[]
3387,"('bridges', '471')",2,bridges 471,[]
3388,"('471', 'form')",2,471 form,[]
3389,"('school', 'notified')",2,school notified,['Competitive Bidding Violation - price not primary factor']
3390,"('471', 'mr3')",2,471 mr3,['Competitive Bidding Violation']
3391,"('471', 'narrative')",2,471 narrative,[]
3392,"('school', 'requesting')",2,school requesting,['Competitive Bidding Violation - price not primary factor']
3393,"('binghamton', 'university')",2,binghamton university,[]
3394,"('school', 'seeking')",2,school seeking,['Competitive Bidding Violation - price not primary factor']
3395,"('billed', 'separately')",2,billed separately,[]
3396,"('school', 'service')",2,school service,['Competitive Bidding Violation - price not primary factor']
3397,"('school', 'shows')",2,school shows,['Competitive Bidding Violation - price not primary factor']
3398,"('bids', 'provided')",2,bids provided,['Competitive Bidding Violation - price not primary factor']
3399,"('bids', 'prospective')",2,bids prospective,['Competitive Bidding Violation - price not primary factor']
3400,"('bids', 'chose')",2,bids chose,[]
3401,"('bidding', 'processas')",2,bidding processas,[]
3402,"('048', '95')",2,048 95,[]
3403,"('student', 'population')",2,student population,[]
3404,"('schools', 'secretary')",2,schools secretary,[]
3405,"('bid', 'must')",2,bid must,['Competitive Bidding Violation - price not primary factor']
3406,"('seeking', 'internet')",2,seeking internet,['Competitive Bidding Violation - price not primary factor']
3407,"('00', '45')",2,00 45,[]
3408,"('based', '100')",2,based 100,['Competitive Bidding Violation - price not primary factor']
3409,"('seeking', 'school')",2,seeking school,['Competitive Bidding Violation - price not primary factor']
3410,"('voice', 'pots')",2,voice pots,[]
3411,"('5', '2')",2,5 2,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
3412,"('statutory', 'requirements')",2,statutory requirements,[]
3413,"('voice', 'lines')",2,voice lines,[]
3414,"('selecting', 'provider')",2,selecting provider,['Competitive Bidding Violation - price not primary factor']
3415,"('awarded', 'full')",2,awarded full,['Competitive Bidding Violation - price not primary factor']
3416,"('awarded', '18')",2,awarded 18,['Competitive Bidding Violation - price not primary factor']
3417,"('available', 'commercially')",2,available commercially,['Competitive Bidding Violation - price not primary factor']
3418,"('available', 'commercial')",2,available commercial,['Competitive Bidding Violation - price not primary factor']
3419,"('auto', 'attendant')",2,auto attendant,[]
3420,"('authorized', 'apply')",2,authorized apply,[]
3421,"('authority', 'puerto')",2,authority puerto,[]
3422,"('sell', 'prices')",2,sell prices,['Competitive Bidding Violation - price not primary factor']
3423,"('authority', '16051553')",2,authority 16051553,[]
3424,"('006', '98')",2,006 98,[]
3425,"('attendant', 'phones')",2,attendant phones,[]
3426,"('sent', 'email')",2,sent email,['Competitive Bidding Violation - price not primary factor']
3427,"('voice', 'line')",2,voice line,[]
3428,"('two', 'fcc')",2,two fcc,[]
3429,"('storage', 'listed')",2,storage listed,[]
3430,"('5', '10')",2,5 10,['Competitive Bidding Violation - price not primary factor']
3431,"('based', 'specific')",2,based specific,[]
3432,"('seat', 'education')",2,seat education,[]
3433,"('schools', 'state')",2,schools state,[]
3434,"('bid', 'meetpoint')",2,bid meetpoint,['Competitive Bidding Violation - price not primary factor']
3435,"('bid', 'determined')",2,bid determined,[]
3436,"('bid', 'contact')",2,bid contact,[]
3437,"('bid', 'chosen')",2,bid chosen,['Competitive Bidding Violation - price not primary factor']
3438,"('bid', 'advance')",2,bid advance,['Competitive Bidding Violation - price not primary factor']
3439,"('biblioteca', 'reverendo')",2,biblioteca reverendo,[]
3440,"('258', '20')",2,258 20,[]
3441,"('bens', '16080475')",2,bens 16080475,[]
3442,"('ben', '79766')",2,ben 79766,[]
3443,"('ben', '17014322')",2,ben 17014322,[]
3444,"('250', '00')",2,250 00,['Category 2 budget exceeded']
3445,"('ben', '16080423')",2,ben 16080423,[]
3446,"('voicemail', '45')",2,voicemail 45,[]
3447,"('4g', 'lte')",2,4g lte,[]
3448,"('ben', '160095')",2,ben 160095,[]
3449,"('behalf', 'entities')",2,behalf entities,[]
3450,"('basic', 'phone')",2,basic phone,[]
3451,"('basic', 'maintenance')",2,basic maintenance,"['Competitive Bidding Violation', 'Ineligible Service']"
3452,"('040', '00')",2,040 00,[]
3453,"('secretary', 'education')",2,secretary education,[]
3454,"('voice', 'voip')",2,voice voip,[]
3455,"('america', 'choice')",2,america choice,[]
3456,"('17011104', '17011105')",2,17011104 17011105,[]
3457,"('school', 'entity')",2,school entity,[]
3458,"('2', '467')",2,2 467,[]
3459,"('validate', 'funds')",2,validate funds,[]
3460,"('9', '2')",2,9 2,[]
3461,"('9', '14')",2,9 14,[]
3462,"('services', 'school')",2,services school,['Competitive Bidding Violation - price not primary factor']
3463,"('022', '62')",2,022 62,[]
3464,"('887', '98')",2,887 98,[]
3465,"('022', '43')",2,022 43,[]
3466,"('validate', 'discount')",2,validate discount,[]
3467,"('services', 'surcharge')",2,services surcharge,[]
3468,"('2015', 'agree')",2,2015 agree,[]
3469,"('65', 'mo')",2,65 mo,[]
3470,"('84', '20')",2,84 20,[]
3471,"('65', 'monthly')",2,65 monthly,[]
3472,"('usage', 'mr1')",2,usage mr1,[]
3473,"('services', 'voicemail')",2,services voicemail,[]
3474,"('650', '00')",2,650 00,['Category 2 budget exceeded']
3475,"('02', 'per')",2,02 per,[]
3476,"('010', '43')",2,010 43,[]
3477,"('66', 'per')",2,66 per,[]
3478,"('660', '00')",2,660 00,[]
3479,"('solutions', 'documentation')",2,solutions documentation,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
3480,"('2', '95')",2,2 95,[]
3481,"('820', '36')",2,820 36,[]
3482,"('90', 'per')",2,90 per,[]
3483,"('62', 'per')",2,62 per,[]
3484,"('2016', 'based')",2,2016 based,[]
3485,"('62', 'agree')",2,62 agree,[]
3486,"('18', 'points')",2,18 points,['Competitive Bidding Violation - price not primary factor']
3487,"('services', 'exorbitant')",2,services exorbitant,['Competitive Bidding Violation - price not primary factor']
3488,"('183', '213')",2,183 213,[]
3489,"('96', '20')",2,96 20,[]
3490,"('60', 'service')",2,60 service,[]
3491,"('services', 'including')",2,services including,[]
3492,"('services', 'individually')",2,services individually,['Competitive Bidding Violation - price not primary factor']
3493,"('specifically', 'form')",2,specifically form,[]
3494,"('95', 'month')",2,95 month,[]
3495,"('specifically', 'following')",2,specifically following,['Competitive Bidding Violation - specified vendor in 470']
3496,"('95', 'call')",2,95 call,[]
3497,"('validation', 'entity')",2,validation entity,[]
3498,"('validation', 'entities')",2,validation entities,[]
3499,"('196', '20')",2,196 20,[]
3500,"('usac', 'website')",2,usac website,[]
3501,"('2', '10')",2,2 10,[]
3502,"('025', '05')",2,025 05,[]
3503,"('614', '79')",2,614 79,[]
3504,"('specifically', 'applicant')",2,specifically applicant,['Fiber review failure']
3505,"('921', '65')",2,921 65,[]
3506,"('specific', 'user')",2,specific user,[]
3507,"('911', '98')",2,911 98,[]
3508,"('905', '65')",2,905 65,[]
3509,"('813', '70')",2,813 70,[]
3510,"('sheet', 'however')",2,sheet however,[]
3511,"('sheet', 'long')",2,sheet long,[]
3512,"('utilized', 'students')",2,utilized students,[]
3513,"('018', '98')",2,018 98,[]
3514,"('since', 'request')",2,since request,[]
