ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1
144,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible
145,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,,Missing documentation needed to determine eligible service
146,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,,Missing documentation needed to determine eligible service
147,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR2:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible
148,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support funding of $3,645.00 per month for OC-3 connection.",,Missing documentation needed to determine eligible service
149,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: monthly recurring charges for OC-3 data connection and independent status of entity 16061731.,"MR1:RAL change implemented on your FCC Form 471, Main Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service
150,DR1:This FRN is denied because the funding request is duplicative of a current year's FRN. Program rules prohibit USAC from funding the same products and services to the same location in the same funding year.,MR1:The applicant did not submit any RAL corrections.,Duplicate FRN
151,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,,Missing documentation to determin competitive bidding
152,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Make/Model of equipment, Contract.;DR2:The Contract Expiration Date on the current FCC Form 471 is different than the Contract Expiration Date reported on the previous year's FCC Form 471 for the identical contract. This indicates that the contract was extended without the extension being requested on the referenced FCC Form 470 or RFP (if applicable). This is a violation of the program rules and therefore, the FRN is denied.","MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service
153,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
154,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
155,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration of eligible equipment.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
156,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Products and services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service
157,"DR1:You requested that BEN 16080605 and 16080606 be removed from FRN 1699040851 to bring this entity within its allowable Category Two budget. Since this funding request is site specific to BEN 16080605 and 16080606 and the amount requested is over the entityâ€™s Category Two budget, FRN is denied. ;MR1:The Recipients of Service for all FRN Line Items was modified from DIEGO SPRINGS ACADEMY, DIEGO SPRINGS ACADEMY A, DIEGO SPRINGS ACADEMY B, and DIEGO VALLEY DANIEL AVE to DIEGO SPRINGS ACADEMY to agree with the applicant documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The student count for BEN 16080422 was decreased from 625 to 308 students that could be validated based on third party data.;MR3:Since the Category Two budget is determined at a single school level (including all its secondary locations), the main location of a single school with multiple locations must list the number of Full Time Students and/or Number of Students that attend part-time regularly at the same time during the school day for the main entity and all its secondary locations. As a result, the Number of Full Time and Part-Time Students for 16080605_Diego Springs Academy A and 16080606_ Diego Springs Academy B was changed to 0.",Category 2 budget exceeded
158,"DR1:The FRN is denied because the entities requesting service within the FRN, 17003098, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible
159,"DR1:The FRN is denied because the entity requesting service within the FRN, 17003098, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible
160,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): OC-3,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service
161,"DR1:You requested that BEN 17002075 Crescent View South A and 17002068 Stockton be removed. Since this funding request is site specific to BEN 17002075 Crescent View South A and 17002068 Stockton, FRN is denied.","MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.;MR2:17002075 Crescent View South A and 17002068 Stockton have been removed from the FCC Form 471 application at the request of the applicant.;MR3:The Student count for entity was increased from 380 to 752 students that could be validated by third party data. The applicant supplied valid third party data to support the higher than requested Total full time students for this school.",Applicant ineligible
162,"DR1:No contract or legally binding agreement was in place when the FCC Form 471 Certification was filed. FCC Rules require that a contract be signed and dated by the applicant or a legally binding agreement is entered into prior to the filing of the FCC Form 471 Certification for the products and services requested. Since this requirement was not met, the FRN is denied.",,No signed contract in place
163,"DR1:The FRN is denied because the entity requesting service within the FRN, Yeshiva Chok leYisroel Lubavitch (17003098), do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible
164,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support amount of $3,200.00 per month.;MR1:The applicant failed to supply documentation to support the requested full and part-time student counts for BEN 16081004. As a result, the requested student counts for this entity were removed from the entity profile and the cost of Category Two services for this entity was removed from all FRN Line Items on this FRN. The dollars requested were reduced from $34,560.00 to $7,680 to remove the costs associated with this entity.","MR1:FRN(s) modified in accordance with a RAL request.;MR2:The applicant failed to supply documentation to support the requested discount data to support the higher discount). As a result of this action, the discount of this FCC Form 471 was decreased from Original 90% to minimum discount of 20%, minimum discount percentage OR the discount percentage that could be validated by third party data.",Missing documentation needed to determine eligible service
165,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Mobile Broadband router or cellular hotspot service,MR1:FRN(s) modified in accordance with a RAL request.;MR2:Mission View Public School D#17002289 has been removed from under the â€œRequested Discount Calculationâ€ section of the FCC Form 471 application.,Missing documentation needed to determine eligible service
166,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): To reduce C2 amount requested in order to be within budget.;MR1:The amount of the funding request was changed from $18,175.39 to $16,449.71 to remove the ineligible product(s) or service(s): Surge Protector (SMX500RT1U) - $1,725.68.",,Ineligible Service
167,"DR1:The FRN is denied because the entities requesting service within the FRN, 17002081, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.",MR1:Main contact of the FCC Form 471 was modified in accordance with the applicantâ€™s request.;MR2:Mendota 16075627 has been added under the â€œRequested Discount Calculationâ€ section of the FCC Form 471 application.;MR3:FRN(s) modified in accordance with a RAL request.,Applicant ineligible
168,DR1:A FCC Form 470 was not posted for requested tariff or month-to-month services for Funding Year FY2016. FCC Rules require that requested tariff or month-to-month services be posted on a FCC Form 470 each Funding Year.,MR1:Some RAL changes could not be processed. Please see your FRN-level comments for additional details regarding why these changes could not be processed.,Competitive Bidding Violation
169,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): products and services being requested - Vendor documentation for 3 Schools not provided.,"MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The discount percentage for Diego Valley Public Charter - 17002097 was decreased from 90% to 80% based on applicant documentation.",Missing documentation needed to determine eligible service
170,DR1:A FCC Form 470 was not posted for requested tariff or month-to-month services for Funding Year FY2016. FCC Rules require that requested tariff or month-to-month services be posted on a FCC Form 470 each Funding Year.,MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation
171,"DR1:On 6/22/2017 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",,Red light rule violation
172,"DR1:Based on the documentation provided during review, this FRN is denied since you failed to properly evaluate bids received. Your evaluation worksheet indicates bidders were evaluated based on a 100 point scale. Correspondence provided between service provider Advance 2000 and the school shows that Advance 2000 sent an email to the school requesting detailed information on the services the school was seeking. The school notified Advance 2000 that it was seeking Internet service at a rate between 50 Mbps 100 Mbps down/5 10 Mbps up. Similar specs were provided by the school to other service providers. A review of the bid with Advance 2000 shows that the bid was responsive to the specifications as communicated to them by the school. Time Warner also provided a bid was which was responsive to the specs as communicated to them by the school. Your evaluation contains three evaluation criteria which are worth a total of 60 points. These criteria are Download Speed, Upload Speed, and Dedicated Connection. Windstream is awarded a full 60 points in these evaluation criterions, while Time Warner and Advance 2000 are awarded 18 points. Download Speed and Upload Speed are criterions that cannot be used to penalize Time Warner and Advance 2000 since the bids they provided are responsive to your stated specs. Likewise, Time Warner and Advance 2000 cannot be penalized for not providing a Dedicated Connection since that requirement was not communicated to the service providers either on the FCC Form 470 that initiated the bidding process or in correspondence to the vendors. Your evaluation shows that while Monthly Cost of Eligible Products/Services individually accounted for the most points in the evaluation, the primary consideration for the school was the combined Download Speed, Upload Speed, and Dedicated Connection criterions. Thus, price was not your primary consideration and the FRN is denied. Additionally, you failed to properly evaluate a bid option from AT&amp;amp;T.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - price not primary factor
173,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item: Vendor Documentation.,MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
174,"DR1:Based on the documentation you provided during review, FRN 1699033836 is denied since you failed to properly evaluate bids received for the FRN. Your evaluation worksheet indicates bidders were evaluated based on a 100 point scale. Correspondence provided between service provider Advance 2000 and the school shows that Advance 2000 sent an email to the school requesting detailed information on the services the school was seeking. The school notified Advance 2000 that it was seeking Internet service at a rate between 50 Mbps 100 Mbps down / 5 10 Mbps up. Similar specs were provided by the school to other service providers. A review of the bid with Advance 2000 shows that the bid was responsive to the specifications as communicated to them by the school. Similarly, Time Warner provided a bid was which was responsive to the specs as communicated to them by the school. Your evaluation contains three evaluation criteria which combined are worth a total of 60 points. These criteria are Download Speed, Upload Speed, and Dedicated Connection. Windstream, the service provider selected, is awarded a full 60 points in these evaluation criterions, while Time Warner and Advance 2000 are awarded 18 points. Download Speed and Upload Speed are criterions that cannot be used to penalize Time Warner and Advance 2000 since the bids they provided are responsive to your stated specs. Likewise, Time Warner and Advance 2000 cannot be penalized for not providing a Dedicated Connection since that requirement was not communicated to the service providers either on the FCC Form 470 that initiated the bidding process or in correspondence to the vendors. Your evaluation shows that while Monthly Cost of Eligible Products/Services individually accounted for the most points in the evaluation, the primary consideration for the school was the combined Download Speed, Upload Speed, and Dedicated Connection criterions. Thus, price was not your primary consideration and the FRN is denied.;MR1:The FRN was modified from 1 line to 5 lines to agree with the applicant documentation.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - price not primary factor
175,"DR1:The Category Two budget for BEN 33557 is $93,900.00. Your total requested Category Two pre-discount funding amount for BEN 33557 exceeds this entityâ€™s Category Two Budget by: ($21,892.99). This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded
176,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor Documentation.,,Missing documentation needed to determine eligible service
177,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Cellular Voice including Data and/or Text Messaging.,MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
178,"DR1:The FCC Form 470 that established the competitive bidding process for this FRN did not include service of this type; therefore it does not meet the 28 day competitive bidding requirement.;MR1:Your request to split FRN 1699122584 has been approved. The new FRN is 1699144144 in the amount of $23,870.72 and the service provider is 143034965.",,470 / 471 Mismatch
179,"DR1:You requested that BEN 17002075 Crescent View South A and 17002068 Stockton be removed. Since this funding request is site specific to BEN 17002075 Crescent View South A and 17002068 Stockton, FRN is denied.","MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.;MR2:17002075 Crescent View South A and 17002068 Stockton have been removed from the FCC Form 471 application at the request of the applicant.;MR3:The Student count for entity was increased from 380 to 752 students that could be validated by third party data. The applicant supplied valid third party data to support the higher than requested Total full time students for this school.",Applicant ineligible
180,"DR1:You requested that BEN 16080605 and 16080606 be removed from FRN 1699045881 to bring this entity within its allowable Category Two budget. Since this funding request is site specific to BEN 16080605 and 16080606 and the amount requested is over the entityâ€™s Category Two budget, FRN is denied. ;MR1:The Recipients of Service for all FRN Line Items was modified from DIEGO SPRINGS ACADEMY, DIEGO SPRINGS ACADEMY A, DIEGO SPRINGS ACADEMY B, and DIEGO VALLEY DANIEL AVE to DIEGO SPRINGS ACADEMY to agree with the applicant documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The student count for BEN 16080422 was decreased from 625 to 308 students that could be validated based on third party data.;MR3:Since the Category Two budget is determined at a single school level (including all its secondary locations), the main location of a single school with multiple locations must list the number of Full Time Students and/or Number of Students that attend part-time regularly at the same time during the school day for the main entity and all its secondary locations. As a result, the Number of Full Time and Part-Time Students for 16080605_Diego Springs Academy A and 16080606_ Diego Springs Academy B was changed to 0.",Category 2 budget exceeded
181,"DR1:You requested that BEN 16080605 and 16080606 be removed from FRN 1699045893 to bring this entity within its allowable Category Two budget. Since this funding request is site specific to BEN 16080605 and 16080606 and the amount requested is over the entityâ€™s Category Two budget, FRN is denied. ;MR1:The Recipients of Service for all FRN Line Items was modified from DIEGO SPRINGS ACADEMY, DIEGO SPRINGS ACADEMY A, DIEGO SPRINGS ACADEMY B, and DIEGO VALLEY DANIEL AVE to DIEGO SPRINGS ACADEMY to agree with the applicant documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The student count for BEN 16080422 was decreased from 625 to 308 students that could be validated based on third party data.;MR3:Since the Category Two budget is determined at a single school level (including all its secondary locations), the main location of a single school with multiple locations must list the number of Full Time Students and/or Number of Students that attend part-time regularly at the same time during the school day for the main entity and all its secondary locations. As a result, the Number of Full Time and Part-Time Students for 16080605_Diego Springs Academy A and 16080606_ Diego Springs Academy B was changed to 0.",Category 2 budget exceeded
182,"DR1:You requested that BEN 16080605 and 16080606 be removed from FRN 1699045916 to bring this entity within its allowable Category Two budget. Since this funding request is site specific to BEN 16080605 and 16080606 and the amount requested is over the entityâ€™s Category Two budget, FRN is denied. ;MR1:The Recipients of Service for all FRN Line Items was modified from DIEGO SPRINGS ACADEMY, DIEGO SPRINGS ACADEMY A, DIEGO SPRINGS ACADEMY B, and DIEGO VALLEY DANIEL AVE to DIEGO SPRINGS ACADEMY to agree with the applicant documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.;MR2:The student count for BEN 16080422 was decreased from 625 to 308 students that could be validated based on third party data.;MR3:Since the Category Two budget is determined at a single school level (including all its secondary locations), the main location of a single school with multiple locations must list the number of Full Time Students and/or Number of Students that attend part-time regularly at the same time during the school day for the main entity and all its secondary locations. As a result, the Number of Full Time and Part-Time Students for 16080605_Diego Springs Academy A and 16080606_ Diego Springs Academy B was changed to 0.",c
183,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Applicant provided same vendor doc for FRN 1699045925.;MR1:Data Transmission and/or Internet Access Services requested in FRN are connected to eligible schools, libraries, and/or NIFs. As a result, the Connection Information questions were modified from â€œNoâ€ to â€œYesâ€ on this FRN since services connected to eligible schools, libraries, and/or NIFs are eligible for support.;MR2:The FRN was modified from $1,500.00 per month for 2 lines to $411.84 per month for 1 line to agree with the applicant documentation.;MR3:The FRN was modified to change the Recipients of Service from all entities to SENECA FAMILY OF AGENCIES - OLIVERA SCHOOL (16084390) to agree with the applicant documentation.",,Missing documentation needed to determine eligible service
184,DR1:Thirty percent or more of this FRN includes a request for CON-ECMU-UCMENHUC and CON-ECMU-ER10USPG which are ineligible services based on Program rules.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
185,"DR1:Per the FCC Order 14-99, individual data plans and air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option. You have not demonstrated that either of the two requirements applies to services requested on this FRN. Therefore, FRN is denied since services requested are ineligible.","MR1:FRN# 1699062473 was modified in accordance with applicant response. The following question on the application was updated from ""no"" to ""yes"": ""Is this a connection between eligible schools, libraries and NIFs (i.e., a connection that provides a ""Wide area network"")?""",Ineligible Service
186,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Data Transmission and/or Internet Access.. Fiber OC-3.,"MR1:RAL change implemented on your FCC Form 471, contact information is in accordance with your RAL request.",Missing documentation needed to determine eligible service
187,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: cellular voice services, homework hotline, OC-1 connection.",,Missing documentation needed to determine eligible service
188,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: cellular voice services, homework hotline, OC-1 connection.",,Missing documentation needed to determine eligible service
189,"DR1:On 7/26/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The applicant did not submit any RAL corrections.,Red light rule violation
190,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor Documentation.,,Missing documentation needed to determine eligible service
191,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):To verify the student count for Entity # 17001232 and Entity # 17002133,,Missing documentation needed to determine eligible service
192,"DR1:Thirty percent or more of this FRN includes a request for Network Managed Security {which is an ineligible product(s) or service(s) based on Program rules, which is an ineligible use based on Program rules}.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
193,"DR1:Applicant has not provided sufficient documentation needed to verify that the FRNs 1699082857, 1699105025 and 1699105027 are not requesting duplicative services.",MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
194,"DR1:Thirty percent or more of this FRN includes a request for Video Conferencing/Distance learning {which is an ineligible product(s) or service(s) based on Program rules, which is an ineligible use based on Program rules}.",,Ineligible Service
195,"DR1:Thirty percent or more of this FRN includes a request for Video Conferencing/Distance learning {which is an ineligible product(s) or service(s) based on Program rules, which is an ineligible use based on Program rules}.",,Ineligible Service
196,"DR1:Thirty percent or more of this FRN includes a request for Video Conferencing/Distance learning {which is an ineligible product(s) or service(s) based on Program rules, which is an ineligible use based on Program rules}.",,Ineligible Service
198,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation for services being requested.,,Missing documentation needed to determine eligible service
199,DR1:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Cost Effectiveness Review Information Request. You did not provide any documentation to determine if the special construction charges met Program rules requirements for cost effectiveness.,,Fiber review failure
200,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,,Missing documentation to determin competitive bidding
